Rk,Player,Nation,Pos,Squad,Age,Born,90s,TotalCmp,TotalAtt,TotalCmp%,TotalDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP,FinalThird,PPA,CrsPA,Prog
307,Aymeric Laporte,es ESP,DF,Manchester City,27-262,1994,19.1,83.4,87.6,95.2,1793.8,527.1,23.4,24.2,96.3,44.6,45.9,97.1,14.7,16.6,88.4,0,0.01,-0.01,0.26,9.9,0.26,0,5.92
308,Benjamin Mendy,fr FRA,DF,Manchester City,27-211,1994,0.9,81.1,96.7,83.9,1505.6,502.2,28.9,33.3,86.7,42.2,42.2,100,8.89,15.6,57.1,0,0.33,-0.33,2.22,6.67,1.11,1.11,8.89
309,John Stones,eng ENG,DF,Manchester City,27-261,1994,6.6,69.1,73.8,93.6,1404.5,344.1,25.2,26.7,94.3,34.1,35,97.4,9.55,11.7,81.8,0,0,0,0,5.76,0.3,0,3.33
310,Kyle Walker,eng ENG,DF,Manchester City,31-261,1990,14.5,76.2,85.9,88.8,1494.6,409.4,29.8,31.5,94.5,36.1,39.5,91.3,10,13.4,74.4,0.14,0.06,0.08,0.62,9.03,0.97,0.21,4.48
311,Oleksandr Zinchenko,ua UKR,DF,Manchester City,25-060,1996,6.6,80.6,90.2,89.4,1426.7,375.6,39.1,41.7,93.8,32.1,34.5,93,8.94,11.5,77.6,0.15,0.14,0.02,1.06,8.33,2.12,0.45,6.97
312,Ederson,br BRA,GK,Manchester City,28-180,1993,24,26.3,29.3,89.6,685.4,385.8,5.08,5.08,100,13.4,13.4,100,7.67,10.7,71.9,0,0,0,0.04,0.33,0.04,0,0.04
313,Zack Steffen,us USA,GK,Manchester City,26-317,1995,1,33,38,86.8,638,313,18,18,100,10,10,100,5,10,50,0,0,0,0,0,0,0,0
314,Edinson Cavani,uy URU,FW,Manchester Utd,34-364,1987,6.7,20.4,25.8,79.2,299.7,35.1,13.7,15.5,88.5,4.78,7.01,68.1,1.19,2.09,57.1,0.15,0.16,-0.01,0.6,0.45,0.15,0,0.75
315,Daniel James,wls WAL,FW,Manchester Utd,24-095,1997,1.4,15.7,22.9,68.8,166.4,25.7,12.9,17.1,75,2.14,3.57,60,0,0.71,0,0,0,0,0.71,0,0,0,0
316,Jesse Lingard,eng ENG,FW,Manchester Utd,29-060,1992,1.3,40,46.2,86.7,515.4,143.1,25.4,25.4,100,10,13.1,76.5,0.77,3.08,25,0,0.08,-0.08,1.54,5.38,0,0,3.08
317,Anthony Martial,fr FRA,FW,Manchester Utd,26-070,1995,2.4,27.5,35.4,77.6,410,98.3,15,18.8,80,11.7,13.8,84.8,0.83,1.67,50,0,0.04,-0.04,0.42,0.83,1.67,0,3.33
318,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37-008,1985,17.4,24.9,31.2,79.9,350.5,55,15.3,18.3,83.7,7.64,9.25,82.6,0.98,1.21,81,0.17,0.1,0.07,0.8,1.32,0.57,0,1.95
319,Anthony Elanga,se SWE,FWMF,Manchester Utd,19-292,2002,3,28.3,35,81,394.7,67.7,16.7,18,92.6,9.33,11.3,82.4,1.33,3,44.4,0,0.03,-0.03,0.67,1.33,0.33,0.33,1.33
320,Mason Greenwood,eng ENG,FWMF,Manchester Utd,20-135,2001,14.1,28.3,36,78.7,522.9,117,13.2,15.2,86.9,11.7,14,83.8,3.05,5.32,57.3,0.07,0.11,-0.04,1.06,1.84,0.92,0.21,2.62
321,Marcus Rashford,eng ENG,FWMF,Manchester Utd,24-105,1997,9,21.4,31.6,68,316.3,59.9,12.7,17.4,72.6,7,9.33,75,1.11,2.67,41.7,0.22,0.21,0.01,0.89,1.33,1,0.22,2.22
322,Jadon Sancho,eng ENG,FWMF,Manchester Utd,21-325,2000,12.4,41.1,49.4,83.2,579.1,130.2,25.4,28.5,89,12.7,15.6,81.9,1.53,2.42,63.3,0,0.19,-0.19,2.18,1.45,1.77,0.4,3.47
