Rk,Player,Nation,Pos,Squad,Age,Born,90s,TotalCmp,TotalAtt,TotalCmp%,TotalDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP,FinalThird,PPA,CrsPA,Prog
213,Jack Harrison,eng ENG,FWMF,Leeds United,25-085,1996,17,23.5,36,65.2,369.1,125.6,13.9,17.6,79.3,7.06,10.8,65.6,1.94,4.82,40.2,0.06,0.11,-0.05,1.65,1.41,1.41,0.35,3.65
214,Daniel James,wls WAL,FWMF,Leeds United,24-095,1997,15.8,13,20.1,65,199.3,49.7,7.34,9.56,76.8,4.37,6.71,65.1,1.01,2.28,44.4,0.06,0.09,-0.03,0.82,0.7,0.82,0.06,1.9
215,Raphael Dias Belloli,br BRA,MFFW,Leeds United,25-061,1996,19.5,25.4,39.4,64.5,471.9,201.6,11.4,14,81.7,9.08,12.6,72.2,3.69,9.79,37.7,0.1,0.23,-0.12,2.21,3.13,1.44,0.36,5.54
216,Tyler Roberts,wls WAL,MFFW,Leeds United,23-032,1999,10.3,20.5,27.9,73.5,316.9,75,11.2,13.6,82.1,6.21,8.25,75.3,1.84,3.4,54.3,0.1,0.13,-0.03,1.36,1.55,1.17,0.29,2.23
217,Rodrigo,es ESP,MFFW,Leeds United,30-344,1991,13.3,25.3,33.4,75.9,462.4,136.5,12.9,16.3,78.8,8.2,9.7,84.5,3.53,5.04,70.1,0.08,0.24,-0.17,1.95,3.01,1.73,0.45,3.53
218,Crysencio Summerville,nl NED,MFFW,Leeds United,20-106,2001,1.4,34.3,45,76.2,479.3,122.9,18.6,22.1,83.9,12.1,17.1,70.8,1.43,2.86,50,0,0,0,0.71,2.14,2.86,0,4.29
219,Lewis Bate,eng ENG,MF,Leeds United,19-107,2002,0.5,30,38,78.9,362,62,24,30,80,6,6,100,0,2,0,0,0,0,0,0,0,0,2
220,Hélder Costa,ao ANG,MF,Leeds United,28-032,1994,0.2,20,20,100,325,0,15,15,100,5,5,100,0,0,,0,0,0,0,0,0,0,0
221,Adam Forshaw,eng ENG,MF,Leeds United,30-128,1991,10,37.1,44.3,83.7,694.9,160.6,17.1,18.7,91.4,12.9,15.5,83.2,5.9,7.6,77.6,0.1,0.1,0,1.1,3.5,0.6,0,3
222,Sam Greenwood,eng ENG,MF,Leeds United,20-018,2002,0.1,50,70,71.4,1090,0,0,0,,20,20,100,20,30,66.7,0,0,0,0,0,0,0,0
223,Mateusz Klich,pl POL,MF,Leeds United,31-245,1990,13.8,32.5,41.8,77.6,503.5,138.9,17.9,20.6,87,10.9,13.6,80.7,2.32,4.64,50,0.14,0.13,0.01,1.88,3.19,1.16,0.22,4.42
224,Stuart McKinstry,sct SCO,MF,Leeds United,19-148,2002,0,2,3,66.7,29,0,1,1,100,1,1,100,0,1,0,0,0,0,0,0,0,0,0
225,Kalvin Phillips,eng ENG,MF,Leeds United,26-073,1995,11.1,46.4,56.5,82.1,1058.1,257.7,12.4,15,83.1,23.5,25.3,92.9,10,14.9,67.3,0.09,0.02,0.07,0.54,4.77,0.72,0.18,3.78
226,Robin Koch,de GER,MFDF,Leeds United,25-211,1996,7,28.1,36,78.2,609.3,169,6.86,8.86,77.4,16.3,19,85.7,4.86,7.43,65.4,0,0.01,-0.01,0.29,1.29,0.43,0,1.71
227,Stuart Dallas,nir NIR,DFMF,Leeds United,30-300,1991,21.9,40,50.2,79.7,734.7,249.5,18.7,20.7,90.5,15.8,18.3,86.5,4.75,9.13,52,0.05,0.09,-0.04,1.19,3.61,0.82,0.27,3.56
228,Pascal Struijk,nl NED,DFMF,Leeds United,22-186,1999,13.3,50.1,56.5,88.7,1072,282,14.4,15.7,91.4,27.2,28.6,95.3,8.05,10.9,73.8,0,0.01,-0.01,0.3,2.93,0.15,0,3.68
229,Luke Ayling,eng ENG,DF,Leeds United,30-172,1991,14,52.9,65.9,80.3,1116.3,463.7,19,21.5,88.4,24.2,27.2,89,9.21,15.6,59.2,0.14,0.01,0.14,0.21,4.21,0.36,0.14,4.71
230,Liam Cooper,sct SCO,DF,Leeds United,30-167,1991,14.2,52.2,59.6,87.6,1152,343.2,13.2,14.4,92.2,29.9,31.4,95.3,8.73,13.1,66.7,0.07,0,0.07,0.14,2.25,0,0,2.39
231,Charlie Cresswell,eng ENG,DF,Leeds United,19-068,2002,1.1,48.2,63.6,75.7,1070.9,340,11.8,12.7,92.9,26.4,28.2,93.5,10,22.7,44,0,0,0,0,2.73,0,0,3.64
232,Cody Drameh,eng ENG,DF,Leeds United,20-067,2001,1.4,42.9,55,77.9,660,285,27.9,31.4,88.6,12.9,16.4,78.3,2.14,2.86,75,0,0,0,0.71,2.14,1.43,0.71,4.29
233,Junior Firpo,es ESP,DF,Leeds United,25-175,1996,10.3,43.4,51.8,83.7,730.9,267,20.3,23.2,87.4,19.6,22.3,87.8,2.82,4.95,56.9,0,0.06,-0.06,0.97,2.91,0.87,0.19,4.08
234,Leo Fuhr Hjelde,no NOR,DF,Leeds United,18-171,2003,1.7,48.8,65.3,74.8,755.9,278.8,27.6,32.4,85.5,17.6,21.2,83.3,2.94,7.65,38.5,0,0,0,0.59,2.35,0,0,2.94
235,Diego Llorente,es ESP,DF,Leeds United,28-181,1993,16.1,46,56,82,1035.1,288.4,10.2,11.7,87.3,26.9,29.8,90.4,8.45,13.2,63.8,0,0.01,-0.01,0.12,2.8,0.25,0,2.92
236,Jamie Shackleton,eng ENG,DF,Leeds United,22-128,1999,7,45.3,52.1,86.8,748.1,223.7,22.1,24.3,91.2,19,21.1,89.9,3.43,4.14,82.8,0,0,0,0.29,2.86,0.29,0,2.43
237,Illan Meslier,fr FRA,GK,Leeds United,21-348,2000,23,29.5,38.4,76.7,712,330.6,6.65,6.65,100,15.6,15.8,98.6,7.04,15.7,44.8,0,0,0,0,0,0,0,0
238,Kasey McAteer,eng ENG,FW,Leicester City,20-083,2001,0,1,1,100,8,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0
239,Jamie Vardy,eng ENG,FW,Leicester City,35-033,1987,14.7,9.39,13.1,71.5,151.2,32.4,4.56,6.12,74.4,3.81,5.1,74.7,0.54,0.88,61.5,0.07,0.09,-0.02,1.09,0.68,1.02,0.14,1.43
240,Harvey Barnes,eng ENG,FWMF,Leicester City,24-066,1997,12.4,21.8,30.2,72.2,303.2,82.3,13.5,16,84.3,6.37,9.19,69.3,0.89,2.42,36.7,0.24,0.17,0.07,1.29,1.05,0.73,0.16,2.66
241,Patson Daka,zm ZAM,FWMF,Leicester City,23-127,1998,5.7,12.8,16.8,76,182.3,46.1,7.72,9.65,80,4.21,5.44,77.4,0.35,0.53,66.7,0.53,0.25,0.28,0.7,0.53,0.7,0,2.11
242,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,25-133,1996,6.9,20.9,28.1,74.2,311.2,77.8,11.3,13.9,81.3,6.67,8.26,80.7,1.3,2.9,45,0.58,0.32,0.26,1.59,1.59,1.01,0.14,3.04
243,Ademola Lookman,eng ENG,FWMF,Leicester City,24-116,1997,10.6,25,32.4,77.3,338.5,90.8,15.8,18.5,85.7,7.45,9.34,79.8,0.66,1.89,35,0,0.13,-0.13,1.51,1.42,1.6,0.19,3.3
244,Ayoze Pérez,es ESP,FWMF,Leicester City,28-205,1993,2.4,24.2,30,80.6,363.8,107.1,14.6,17.1,85.4,6.67,9.17,72.7,2.08,2.5,83.3,0.83,0.29,0.54,2.5,2.5,0.83,0,4.58
245,James Maddison,eng ENG,MFFW,Leicester City,25-082,1996,15.9,24.3,34.2,71.3,448.9,144.3,10.9,13.5,80.5,9.56,11.7,81.7,3.4,7.61,44.6,0.19,0.16,0.03,1.38,2.64,1.32,0.19,3.65
246,Kiernan Dewsbury Hall,eng ENG,MF,Leicester City,23-160,1998,7.8,42.3,54,78.4,664,164.7,23.2,25.9,89.6,14.6,19,77,3.33,6.54,51,0.26,0.13,0.13,1.41,3.08,0.9,0.26,3.33
247,Boubakary Soumaré,fr FRA,MF,Leicester City,22-351,1999,11.4,36.1,43.9,82.2,631.3,151.8,15.9,19.3,82.3,15.8,17.9,88.2,3.51,5.44,64.5,0.09,0.02,0.07,0.35,2.72,0.35,0,3.16
248,Youri Tielemans,be BEL,MF,Leicester City,24-282,1997,15.4,48,59,81.4,894.5,254.8,20.2,23.2,86.9,21.5,24.4,88.3,5.58,9.81,57,0.13,0.2,-0.07,1.62,5.19,0.97,0.06,6.17
249,Marc Albrighton,eng ENG,DFFW,Leicester City,32-087,1989,7.1,20.3,33.2,61,327.7,149.3,11.7,13.5,86.5,7.04,10.7,65.8,1.13,6.34,17.8,0,0.04,-0.04,0.56,1.69,0.85,0.28,2.11
250,Hamza Choudhury,eng ENG,MFDF,Leicester City,24-135,1997,2.5,38.8,46.8,82.9,705.6,156,18,20.8,86.5,14.4,16.4,87.8,5.6,7.6,73.7,0,0,0,0,0.8,0,0,1.2
251,Wilfred Ndidi,ng NGA,MFDF,Leicester City,25-059,1996,14,40.2,49.1,82,699.7,174.5,18.4,21.4,86.3,17.9,20.2,88.7,3.14,5.29,59.5,0,0,0,0,2,0.14,0,2.93
252,Daniel Amartey,gh GHA,DF,Leicester City,27-054,1994,10.7,48.3,54.5,88.7,965.1,300.6,14.8,15.7,94,27.5,29.6,92.7,5.79,7.94,72.9,0,0,0,0.09,1.78,0,0,2.8
253,Ryan Bertrand,eng ENG,DF,Leicester City,32-192,1989,3.7,41.6,51.6,80.6,705.1,291.1,20.3,21.9,92.6,17.6,21.1,83.3,2.43,4.86,50,0,0.08,-0.08,0.54,2.97,0.27,0,1.89
254,Timothy Castagne,be BEL,DF,Leicester City,26-070,1995,14.1,39.9,50.1,79.5,668.2,249.4,20.6,23.9,86.1,15.2,18.8,80.8,3.48,5.74,60.5,0,0.03,-0.03,0.43,1.99,0.5,0.07,2.77
255,Jonny Evans,nir NIR,DF,Leicester City,34-041,1988,8.4,47.7,58.6,81.5,1078.9,386.9,10,12.1,82.4,29.5,32.1,91.9,7.98,13.9,57.3,0.12,0.06,0.06,0.24,2.62,0.12,0,2.38
256,James Justin,eng ENG,DF,Leicester City,23-355,1998,2.4,37.9,50.8,74.6,595.4,209.6,18.3,20.4,89.8,16.3,20,81.3,2.08,7.08,29.4,0,0.13,-0.13,1.25,0.83,0.42,0,3.75
257,Ricardo Pereira,pt POR,DF,Leicester City,28-130,1993,6.6,41.5,53,78.3,677.4,233.2,22,25.3,86.8,16.5,19.8,83.2,2.73,5.76,47.4,0.3,0.17,0.14,0.91,1.21,1.67,0.3,3.94
258,Çağlar Söyüncü,tr TUR,DF,Leicester City,25-266,1996,17.7,52.5,61.6,85.2,1062.7,332.9,16,17.5,91.6,29.3,31.5,93.2,6.61,11.4,57.9,0,0.01,-0.01,0.11,2.26,0.06,0.06,1.86
259,Luke Thomas,eng ENG,DF,Leicester City,20-248,2001,12.6,44.9,55.3,81.2,729.8,255.6,22,23.7,93,19.1,22.5,84.9,2.86,6.75,42.4,0.08,0.1,-0.02,0.63,2.54,0.79,0,3.49
260,Jannik Vestergaard,dk DEN,DF,Leicester City,29-194,1992,6.3,51.9,56,92.6,1156.5,329.8,13.8,14.4,95.6,28.6,29.8,95.7,8.89,10.5,84.8,0,0,0,0.16,1.9,0,0,2.22
261,Kasper Schmeichel,dk DEN,GK,Leicester City,35-100,1986,21,25.3,36.9,68.7,818.9,458.9,2.71,2.76,98.3,11.3,11.4,99.2,11.2,22.6,49.6,0,0,0,0,0.19,0.05,0,0
262,Luis Díaz,co COL,FW,Liverpool,25-031,1997,1,40,46,87,614,80,24,25,96,11,16,68.8,3,3,100,0,0,0,0,2,4,0,6
263,Roberto Firmino,br BRA,FW,Liverpool,30-134,1991,7.4,34.1,43.5,78.3,518.5,107.7,18.9,21.2,89.2,11.5,15,76.6,2.3,3.11,73.9,0.41,0.27,0.14,1.76,2.16,0.95,0,2.57
264,Kaide Gordon,eng ENG,FW,Liverpool,17-131,2004,0.1,40,40,100,500,0,20,20,100,0,0,,10,10,100,0,0,0,0,0,0,0,0
265,Diogo Jota,pt POR,FW,Liverpool,25-071,1996,18.1,21.2,29,73.1,339.7,83.1,10.7,13.6,78.9,8.45,10.7,79.3,1.38,2.54,54.3,0.06,0.22,-0.17,1.49,1.77,1.27,0.11,2.76
266,Sadio Mané,sn SEN,FW,Liverpool,29-309,1992,19,23.8,33.1,71.9,378.4,82.2,13.6,16.4,82.7,7.47,10.9,68.6,2.11,3,70.2,0.05,0.15,-0.1,0.95,1.42,1.89,0.21,3.26
267,Divock Origi,be BEL,FW,Liverpool,26-301,1995,0.5,22,30,73.3,222,24,16,24,66.7,2,2,100,0,0,,0,0,0,0,2,0,0,0
268,Mohamed Salah,eg EGY,FW,Liverpool,29-243,1992,20.1,27.4,35.1,78.2,387.1,108.1,17.8,20.2,87.9,8.01,10.6,75.6,1.09,2.29,47.8,0.45,0.35,0.1,1.89,0.95,1.84,0.2,3.93
269,Takumi Minamino,jp JPN,FWMF,Liverpool,27-028,1995,1.1,31.8,38.2,83.3,466.4,77.3,18.2,22.7,80,11.8,12.7,92.9,0.91,0.91,100,0,0.36,-0.36,0.91,2.73,0,0,1.82
270,Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,28-182,1993,8,36.5,46,79.3,734.8,168.4,14,16.9,83,15.3,17.8,85.9,6.5,9,72.2,0.13,0.11,0.01,1.13,4.88,1.88,0.38,5.25
271,Thiago Alcántara,es ESP,MF,Liverpool,30-308,1991,8.5,74.2,84.5,87.9,1571.4,437.2,25.2,27.9,90.3,35.2,38.2,92,13.2,16.7,78.9,0.12,0.12,0,1.18,11.4,1.06,0,10.8
272,Harvey Elliott,eng ENG,MF,Liverpool,18-315,2003,3.1,56.8,67.1,84.6,962.6,259,29,32.6,89.1,22.6,25.8,87.5,5.16,6.77,76.2,0,0.1,-0.1,1.61,6.45,2.26,0.32,9.35
273,Fabinho,br BRA,MF,Liverpool,28-113,1993,15.9,51.5,58.2,88.5,947.9,218.3,20.3,22.3,91,24.7,26.5,92.9,5.47,7.23,75.7,0.06,0.04,0.02,0.69,5.91,0.57,0.06,4.21
274,Jordan Henderson,eng ENG,MF,Liverpool,31-241,1990,17.4,63.9,77,83,1223.7,303.5,25.9,29.1,89.1,28.6,32.9,86.7,8.51,12.2,69.8,0.17,0.14,0.03,1.44,7.01,1.9,0.46,6.26
275,Curtis Jones,eng ENG,MF,Liverpool,21-014,2001,6.2,54.8,60.3,90.9,901.6,177.3,29.5,30.8,95.8,21.5,22.7,94.3,3.55,5.81,61.1,0.16,0.03,0.13,0.65,3.87,0.65,0,2.9
276,Naby Keïta,gn GUI,MF,Liverpool,27-003,1995,5.9,48,55.9,85.8,743.1,202.2,25.4,27.8,91.5,19,21.2,89.6,2.2,3.56,61.9,0.17,0.15,0.02,1.02,3.39,1.69,0,5.93
277,Tyler Morton,eng ENG,MF,Liverpool,19-105,2002,0.7,45.7,52.9,86.5,837.1,174.3,20,21.4,93.3,20,21.4,93.3,5.71,8.57,66.7,0,0,0,0,11.4,0,0,4.29
278,James Milner,eng ENG,MFDF,Liverpool,36-040,1986,6.8,61.6,76,81,1229.1,395.7,22.9,26.6,86.2,28.1,32.1,87.6,9.56,14.9,64.4,0.15,0.21,-0.06,1.32,8.09,1.76,0.29,7.21
279,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-129,1998,20.7,65.6,87.5,74.9,1439.5,583.9,24.2,27.5,87.7,26.2,32.3,81.1,14.4,25.1,57.6,0.48,0.37,0.11,3,7.15,3.14,0.77,9.9
280,Virgil van Dijk,nl NED,DF,Liverpool,30-220,1991,21,65,71.6,90.9,1484.2,477.6,16.6,17.9,93.1,35.3,36.7,96.2,12.7,16.4,77.4,0.05,0.01,0.03,0.19,4.9,0.14,0,3.38
281,Joe Gomez,eng ENG,DF,Liverpool,24-266,1997,0.2,45,75,60,860,170,10,20,50,20,30,66.7,10,15,66.7,0,0,0,0,5,0,0,0
282,Ibrahima Konaté,fr FRA,DF,Liverpool,22-264,1999,7,51.7,58.4,88.5,1073.3,383,14,15.3,91.6,30,31.9,94.2,7.14,10.3,69.4,0,0.01,-0.01,0.14,3.57,0.43,0,3.86
283,Joël Matip,cm CMR,DF,Liverpool,30-189,1991,18,66.1,72.9,90.6,1443.8,405.3,17.3,19.2,90.1,35.7,37.8,94.4,12.9,15.3,84.4,0.06,0.04,0.01,0.39,6.28,0.33,0,5.44
284,Andrew Robertson,sct SCO,DF,Liverpool,27-339,1994,16.5,65.1,81.9,79.5,1175.2,423.2,30.3,33.7,89.9,27.6,32.7,84.4,6.85,13.2,52.1,0.48,0.23,0.25,2.12,4.91,1.94,0.67,6.97
285,Kostas Tsimikas,gr GRE,DF,Liverpool,25-277,1996,6.4,45.8,63.8,71.8,866.4,330,18.8,21.7,86.3,20.3,25.9,78.3,6.09,13,47,0.16,0.23,-0.08,2.5,2.5,1.41,0.94,4.53
286,Neco Williams,wls WAL,DF,Liverpool,20-306,2001,0.1,80,80,100,1530,320,10,10,100,50,50,100,10,10,100,10,6,4,10,0,0,0,0
287,Alisson,br BRA,GK,Liverpool,29-134,1992,21,30.5,35.4,86,800.2,439.6,5.1,5.14,99.1,17.4,17.6,98.6,7.95,12.6,63,0,0,0,0.05,0.33,0,0,0
288,Caoimhín Kelleher,ie IRL,GK,Liverpool,23-082,1998,2,40.5,45,90,936.5,371,8,8,100,25.5,25.5,100,7,11.5,60.9,0,0,0,0,0,0,0,0
289,Kayky Chagas,br BRA,FW,Manchester City,18-247,2003,0.1,20,20,100,320,0,10,10,100,10,10,100,0,0,,0,0,0,0,0,0,0,0
290,Liam Delap,eng ENG,FW,Manchester City,19-005,2003,0.1,10,10,100,150,50,10,10,100,0,0,,0,0,,0,0,0,0,0,0,0,0
291,Phil Foden,eng ENG,FW,Manchester City,21-261,2000,13.9,42.7,52.7,81.1,695.5,143.7,25,27.4,91.3,13.3,15.5,86,3.96,7.63,51.9,0.22,0.31,-0.09,2.01,2.59,1.73,0.43,3.38
292,Jack Grealish,eng ENG,FW,Manchester City,26-156,1995,14.1,40.5,46.6,86.9,587.7,111.6,24.3,26.7,91,13,14.4,90.6,2.06,2.7,76.3,0.14,0.23,-0.09,2.55,1.13,1.77,0.21,3.4
293,Gabriel Jesus,br BRA,FW,Manchester City,24-316,1997,14.7,32.9,39,84.5,490.7,86.4,17.6,19.5,89.9,12.9,15.2,84.8,1.36,2.04,66.7,0.48,0.23,0.24,1.56,0.82,1.56,0.34,2.79
294,Riyad Mahrez,dz ALG,FW,Manchester City,30-357,1991,11.1,46.5,56.4,82.4,801.1,169.4,24,27,88.7,17.3,20,86.5,4.77,8.2,58.2,0.36,0.29,0.07,2.88,1.44,2.79,0.45,4.05
295,Raheem Sterling,eng ENG,FW,Manchester City,27-067,1994,15.8,33.5,39.9,83.8,485.8,101.3,20.6,22.8,90.6,10.9,12.8,85.1,1.33,2.15,61.8,0.06,0.2,-0.14,1.65,0.89,2.47,0.32,3.42
296,Ferrán Torres,es ESP,FW,Manchester City,21-349,2000,3.4,16.2,21.2,76.4,245.3,22.1,8.53,10.6,80.6,5.29,6.18,85.7,1.47,1.76,83.3,0.29,0,0.29,0.29,0.59,0.29,0,0.59
297,Cole Palmer,eng ENG,FWMF,Manchester City,19-283,2002,1.4,31.4,37.1,84.6,440,80,20.7,22.1,93.5,7.86,10,78.6,2.86,4.29,66.7,0,0.14,-0.14,1.43,1.43,2.86,0,3.57
298,James Mcatee,eng ENG,MFFW,Manchester City,19-118,2002,0.2,45,65,69.2,725,25,20,30,66.7,25,30,83.3,0,5,0,0,0,0,0,0,0,0,0
299,Bernardo Silva,pt POR,MFFW,Manchester City,27-187,1994,22.7,53.3,60.2,88.5,829,130.3,30.7,32.9,93.6,17.7,19.9,89.1,3.61,4.93,73.2,0.04,0.17,-0.13,1.59,3.13,1.23,0.18,2.73
300,Kevin De Bruyne,be BEL,MF,Manchester City,30-230,1991,13.2,49.1,64.5,76.1,914.9,241.2,21.9,25.2,86.8,20.6,25.9,79.5,6.06,11.2,54.1,0.15,0.35,-0.2,3.41,4.92,2.65,0.3,6.52
301,Fernandinho,br BRA,MF,Manchester City,36-285,1985,6.8,65.6,73.4,89.4,1199.9,287.2,27.5,30.1,91.2,30.9,32.9,93.8,6.47,9.12,71,0.15,0.12,0.03,1.18,8.09,2.21,0.15,5.59
302,İlkay Gündoğan,de GER,MF,Manchester City,31-112,1990,13,53.7,62.7,85.6,940.9,189.6,26.8,28.7,93.6,19.2,21.5,88.9,6.54,10,65.4,0.23,0.24,-0.01,2,3.08,1.46,0.08,3.85
303,Rodri,es ESP,MF,Manchester City,25-236,1996,19.4,78.7,84.6,93,1636.1,308.7,26.7,28.2,94.5,37.9,39.9,95.1,13.6,15.4,88.3,0.05,0.05,0,0.82,7.63,1.08,0,5.67
304,Nathan Aké,nl NED,DF,Manchester City,26-360,1995,7.5,72.4,78.4,92.3,1328.1,391.2,30.7,32.3,95,34.5,37.1,93.2,6.67,8.13,82,0,0.04,-0.04,0.27,6.13,0.4,0,2.93
305,João Cancelo,pt POR,DF,Manchester City,27-262,1994,22.9,77.9,92.4,84.4,1412.5,435.6,36.6,39.7,92.2,31.8,36.4,87.3,9,14,64.2,0.22,0.14,0.08,1.05,8.34,2.58,0.31,7.73
306,Rúben Dias,pt POR,DF,Manchester City,24-275,1997,21.7,76.8,81.6,94.1,1650,435.7,21.6,22.6,95.3,42.3,43.7,96.7,12.8,14.7,87.1,0.14,0.1,0.04,0.51,6.5,0.09,0,3.96
