Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries,Carries_TotDist,Carries_PrgDist,Carries_Prog,Carries_Final3rd,Carries_CPA,Carries_Mis,Carries_Dis,Rec_Targ,Rec,Rec%,Rec_Prog
38,Lewis Bate,eng ENG,MF,Leeds United,19-119,2002,0.5,29,1,7,19,7,0,29,1,2,50,1,1,22,104,28,0,1,0,4,2,27,19,70.4,1
39,Mads Bech Sørensen,dk DEN,DF,Brentford,23-049,1999,4.2,267,44,146,107,30,2,223,0,0,,0,0,143,905,620,13,3,0,0,0,158,151,95.6,2
40,Jan Bednarek,pl POL,DF,Southampton,25-319,1996,18.2,1104,154,547,558,45,17,1054,2,2,100,2,0,586,2510,1274,17,0,0,1,2,631,616,97.6,4
41,Donny van de Beek,nl NED,MF,Everton,24-313,1997,2.3,160,2,27,90,50,4,157,1,5,20,2,1,96,334,157,9,1,0,1,5,109,100,91.7,4
42,Donny van de Beek,nl NED,MF,Manchester Utd,24-313,1997,0.8,53,2,19,21,15,4,53,3,4,75,3,0,31,59,23,2,0,1,1,4,41,30,73.2,5
43,Asmir Begović,ba BIH,GK,Everton,34-250,1987,1,25,24,25,0,0,0,12,0,0,,0,0,5,24,16,0,0,0,0,0,8,8,100,0
44,Saïd Benrahma,dz ALG,FWMF,West Ham,26-199,1995,17.6,812,13,107,349,414,70,796,22,54,40.7,27,4,611,3323,1767,84,22,18,35,30,790,593,75.1,117
45,Rodrigo Bentancur,uy URU,MF,Tottenham,24-265,1997,2.8,203,13,48,125,43,2,200,3,5,60,3,0,150,729,341,15,3,1,3,6,147,139,94.6,4
46,Christian Benteke,be BEL,FW,Crystal Palace,31-084,1990,12.1,432,38,62,198,188,83,412,9,18,50,10,1,212,965,447,25,6,8,36,11,610,317,52,99
47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,31-121,1990,12.2,492,24,85,197,245,27,488,14,22,63.6,15,0,331,1680,815,37,16,5,17,18,383,302,78.9,57
48,Steven Bergwijn,nl NED,FW,Tottenham,24-140,1997,5,213,4,32,81,126,29,208,7,13,53.8,8,0,157,941,618,27,10,7,10,16,239,157,65.7,45
49,Ryan Bertrand,eng ENG,DF,Leicester City,32-204,1989,3.7,228,18,71,113,55,4,182,0,1,0,1,1,122,544,216,11,3,1,4,5,148,128,86.5,2
50,Mads Bidstrup,dk DEN,MF,Brentford,21-000,2001,0.5,23,2,9,13,2,0,23,0,1,0,0,0,11,37,17,1,1,0,1,2,11,9,81.8,1
51,Yves Bissouma,ml MLI,MF,Brighton,25-179,1996,15.7,1042,63,297,615,224,14,1026,25,33,75.8,25,1,737,4434,2229,83,30,4,22,23,730,685,93.8,14
52,Jarrod Bowen,eng ENG,FW,West Ham,25-067,1996,24.6,1011,20,135,398,542,125,924,21,54,38.9,23,2,657,4055,1760,101,21,27,44,54,967,631,65.3,148
53,Jarrad Branthwaite,eng ENG,DF,Everton,19-243,2002,1.6,74,10,39,35,4,2,69,0,0,,0,0,43,177,118,1,0,0,1,3,35,34,97.1,0
54,Armando Broja,al ALB,FW,Southampton,20-168,2001,13.6,443,9,39,211,228,65,440,20,42,47.6,21,2,274,1778,1226,58,20,22,35,45,662,322,48.6,77
55,Josh Brownhill,eng ENG,MF,Burnley,26-068,1995,18.4,817,45,179,453,225,22,791,13,16,81.3,14,1,423,1785,806,46,19,3,13,10,496,441,88.9,27
56,Bryan,es ESP,FWMF,Tottenham,21-014,2001,1,83,2,10,19,59,5,80,2,3,66.7,2,0,66,393,245,13,2,0,5,3,70,60,85.7,13
57,Emi Buendía,ar ARG,FWMF,Aston Villa,25-062,1996,15.9,834,23,110,414,367,49,791,21,31,67.7,21,0,577,2720,1530,84,34,2,25,45,691,571,82.6,85
58,Dan Burn,eng ENG,DF,Newcastle Utd,29-292,1992,2,112,19,63,50,3,3,111,0,0,,0,0,54,311,142,1,0,0,0,0,58,56,96.6,0
59,Dan Burn,eng ENG,DF,Brighton,29-292,1992,11.4,772,100,391,363,64,12,754,1,2,50,1,0,465,2348,1203,27,9,0,6,3,519,498,96,2
60,Jack Butland,eng ENG,GK,Crystal Palace,28-352,1993,4.5,167,151,166,1,0,0,111,0,0,,0,0,71,314,118,0,0,0,0,0,81,80,98.8,0
61,Sam Byram,eng ENG,DFMF,Norwich City,28-162,1993,2,123,11,43,56,29,3,112,0,2,0,0,0,60,313,120,6,1,0,3,2,62,58,93.5,4
62,Willy Caballero,ar ARG,GK,Southampton,40-150,1981,2,68,54,68,0,0,0,50,0,0,,0,0,37,224,114,0,0,0,0,0,34,34,100,0
63,Dominic Calvert-Lewin,eng ENG,FW,Everton,24-346,1997,7.5,255,10,24,114,122,36,244,1,4,25,1,1,113,466,161,7,1,1,27,8,365,181,49.6,40
64,João Cancelo,pt POR,DF,Manchester City,27-274,1994,23.9,2510,47,393,1361,932,71,2302,39,66,59.1,41,7,1869,8306,4499,257,96,20,17,18,1940,1865,96.1,66
65,Sergi Canós,es ESP,DF,Brentford,25-023,1997,20.8,927,59,256,421,317,50,880,24,45,53.3,26,5,596,3334,2007,105,32,11,22,29,668,538,80.5,55
66,Todd Cantwell,eng ENG,FWMF,Norwich City,23-363,1998,4.9,215,5,50,109,70,7,210,5,11,45.5,5,0,159,608,289,15,4,0,12,12,205,150,73.2,18
67,Matty Cash,pl POL,DF,Aston Villa,24-202,1997,23.5,1307,99,418,574,394,70,1079,11,23,47.8,11,1,667,4101,2205,99,29,17,18,34,706,618,87.5,75
68,Timothy Castagne,be BEL,DF,Leicester City,26-082,1995,14.1,875,63,340,401,176,13,762,11,14,78.6,11,0,460,1915,992,43,13,1,14,13,566,491,86.7,33
69,Jonny Castro,es ESP,DF,Wolves,27-359,1994,0.3,16,1,4,7,5,0,15,0,1,0,0,0,8,19,2,0,0,0,0,0,8,7,87.5,0
70,Craig Cathcart,nir NIR,DF,Watford,33-019,1989,21.3,963,173,546,403,54,8,915,0,1,0,0,0,448,1851,878,12,3,0,1,3,518,497,95.9,2
71,Edinson Cavani,uy URU,FW,Manchester Utd,35-011,1987,6.7,234,10,42,102,96,27,230,4,4,100,4,0,121,259,66,4,2,2,12,3,301,173,57.5,32
72,Kayky Chagas,br BRA,FW,Manchester City,18-259,2003,0.1,3,0,0,2,2,0,3,0,0,,0,0,3,40,29,1,1,0,1,0,4,3,75,0
73,Trevoh Chalobah,eng ENG,DF,Chelsea,22-235,1999,10.1,794,52,304,432,99,7,776,8,10,80,8,0,542,2224,1104,38,13,0,1,5,568,555,97.7,2
74,Calum Chambers,eng ENG,DF,Aston Villa,27-036,1995,2,159,19,85,74,10,2,154,1,1,100,1,0,106,670,422,13,2,0,0,0,106,102,96.2,1
