Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries,Carries_TotDist,Carries_PrgDist,Carries_Prog,Carries_Final3rd,Carries_CPA,Carries_Mis,Carries_Dis,Rec_Targ,Rec,Rec%,Rec_Prog
301,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24-242,1997,5.4,157,12,25,77,63,24,146,9,14,64.3,9,1,81,285,142,10,3,5,9,6,208,103,49.5,25
302,Nemanja Matić,rs SRB,MF,Manchester Utd,33-208,1988,8.5,647,35,204,403,95,4,634,7,9,77.8,7,0,420,2639,1639,57,11,0,10,8,464,450,97,4
303,Joël Matip,cm CMR,DF,Liverpool,30-201,1991,21,1756,164,723,1087,126,41,1721,11,12,91.7,11,0,1140,7630,5278,191,52,4,5,7,1270,1238,97.5,8
304,Neal Maupay,fr FRA,FW,Brighton,25-195,1996,19.4,655,8,43,268,373,96,617,24,38,63.2,27,4,445,1626,669,42,15,5,42,44,881,463,52.6,161
305,Bryan Mbeumo,fr FRA,FW,Brentford,22-202,1999,20.8,780,14,84,307,440,82,739,25,47,53.2,26,3,482,2576,1372,67,22,15,57,43,1049,532,50.7,177
306,James McArthur,sct SCO,MF,Crystal Palace,34-141,1987,11.9,794,41,187,473,181,19,759,11,17,64.7,11,2,527,2682,1241,48,18,2,9,18,543,488,89.9,27
307,James Mcatee,eng ENG,MFFW,Manchester City,19-130,2002,0.2,17,0,1,10,6,3,17,1,1,100,1,0,12,38,29,2,0,1,0,2,13,13,100,3
308,Kasey McAteer,eng ENG,FW,Leicester City,20-095,2001,0,2,1,1,0,1,0,2,0,0,,0,0,2,5,5,0,0,0,1,0,4,2,50,0
309,Liam McCarron,sct SCO,FW,Leeds United,20-355,2001,0.1,2,0,1,2,0,0,2,0,0,,0,0,2,32,8,1,0,0,0,0,1,1,100,0
310,Alex McCarthy,eng ENG,GK,Southampton,32-084,1989,15,483,397,480,4,0,0,340,0,0,,0,0,220,829,480,0,0,0,0,0,208,206,99,0
311,John McGinn,sct SCO,MF,Aston Villa,27-130,1994,20.3,1049,40,235,572,315,16,976,23,37,62.2,25,1,685,3265,1816,79,24,2,19,24,704,633,89.9,40
312,Stuart McKinstry,sct SCO,MF,Leeds United,19-160,2002,0,5,0,2,4,0,0,5,0,0,,0,0,4,31,28,0,0,0,1,0,5,3,60,0
313,Kenny McLean,sct SCO,MF,Norwich City,30-048,1992,22.3,996,56,293,537,224,28,974,12,25,48,14,0,560,3010,1417,57,14,3,18,16,793,645,81.3,50
314,Dwight McNeil,eng ENG,MF,Burnley,22-095,1999,22,998,37,191,472,428,31,953,46,83,55.4,51,2,755,5126,2362,118,39,8,29,36,733,591,80.6,52
315,Scott McTominay,sct SCO,MF,Manchester Utd,25-079,1996,19.9,1198,58,307,715,256,21,1181,28,41,68.3,29,0,780,4507,2244,103,38,3,22,25,809,743,91.8,30
316,Ben Mee,eng ENG,DF,Burnley,32-155,1989,19,888,140,448,425,47,27,864,3,4,75,4,0,428,2128,912,18,1,0,3,5,428,408,95.3,2
317,Benjamin Mendy,fr FRA,DF,Manchester City,27-223,1994,0.9,94,0,16,57,28,1,82,1,2,50,1,1,69,302,204,8,4,0,0,1,72,69,95.8,1
318,Edouard Mendy,sn SEN,GK,Chelsea,29-361,1992,21,640,568,638,4,0,0,504,0,0,,0,0,311,1219,509,0,0,0,1,0,324,323,99.7,0
319,Illan Meslier,fr FRA,GK,Leeds United,21-360,2000,25,1042,934,1042,1,0,0,791,0,0,,0,0,577,2500,1240,0,0,0,3,0,513,513,100,0
320,Luka Milivojević,rs SRB,MF,Crystal Palace,30-324,1991,6.3,423,12,92,238,108,2,381,2,3,66.7,2,0,225,893,396,17,6,0,1,0,281,274,97.5,5
321,James Milner,eng ENG,MFDF,Liverpool,36-052,1986,7,621,38,157,306,182,8,580,2,4,50,2,0,378,1441,772,31,11,0,4,5,443,406,91.6,19
322,Yerry Mina,co COL,DF,Everton,27-155,1994,7.2,358,76,207,145,19,11,353,0,0,,0,0,195,1048,477,7,0,0,1,0,211,201,95.3,2
323,Takumi Minamino,jp JPN,FWMF,Liverpool,27-040,1995,1.1,53,0,5,23,26,5,53,0,2,0,0,0,38,169,84,5,0,0,1,0,63,43,68.3,9
324,Tyrone Mings,eng ENG,DF,Aston Villa,28-349,1993,21.4,1243,237,752,483,88,41,1199,7,9,77.8,7,0,678,4145,2179,38,9,1,6,2,778,734,94.3,7
325,Tyrick Mitchell,eng ENG,DF,Crystal Palace,22-177,1999,25.9,1735,102,659,760,404,24,1431,12,23,52.2,13,0,949,4017,2084,71,29,2,26,31,969,901,93,48
326,Jakub Moder,pl POL,MFFW,Brighton,22-324,1999,17.4,984,38,188,410,449,65,954,12,31,38.7,14,2,634,3141,1563,81,32,2,30,24,825,674,81.7,90
327,Wesley Moraes,br BRA,FW,Aston Villa,25-091,1996,0,4,0,0,1,3,0,4,0,0,,0,0,1,0,0,0,0,0,1,0,6,4,66.7,1
328,Tyler Morton,eng ENG,MF,Liverpool,19-117,2002,0.7,39,0,3,33,5,0,39,0,0,,0,0,27,91,36,2,0,0,0,0,23,21,91.3,0
329,Mason Mount,eng ENG,MFFW,Chelsea,23-046,1999,16,899,10,92,297,559,89,826,15,31,48.4,16,2,620,2778,1485,88,32,18,30,31,849,657,77.4,138
330,Lucas Moura,br BRA,FWMF,Tottenham,29-196,1992,16.8,883,20,92,498,371,50,875,33,56,58.9,35,1,638,3295,1803,117,43,11,48,36,844,670,79.4,88
331,João Moutinho,pt POR,MF,Wolves,35-170,1986,21.1,1378,52,336,776,330,5,1264,8,11,72.7,9,0,874,3713,1894,83,22,1,16,13,934,874,93.6,28
332,Bali Mumba,eng ENG,DF,Norwich City,20-140,2001,0.5,19,8,12,4,3,0,19,0,1,0,0,0,9,53,19,1,0,0,0,0,9,8,88.9,0
333,Jacob Murphy,eng ENG,DFMF,Newcastle Utd,27-001,1995,10.1,536,23,151,211,215,39,455,8,17,47.1,10,2,312,2203,1386,72,17,9,13,12,341,279,81.8,25
334,Enock Mwepu,zm ZAM,MF,Brighton,24-055,1998,7.1,361,18,76,186,130,26,360,10,18,55.6,12,0,239,1114,611,29,11,4,14,9,298,233,78.2,33
335,Vitaliy Mykolenko,ua UKR,DF,Everton,22-272,1999,1,71,3,20,39,13,1,63,0,0,,0,0,39,115,49,1,0,0,0,1,36,35,97.2,1
336,Marvelous Nakamba,zw ZIM,MF,Aston Villa,28-037,1994,8.4,397,29,127,238,48,0,389,3,5,60,3,0,231,1060,392,14,4,0,4,8,236,219,92.8,4
337,Wilfred Ndidi,ng NGA,MFDF,Leicester City,25-071,1996,15.8,1022,95,366,567,125,15,1008,5,8,62.5,5,0,589,2516,991,33,8,0,16,11,611,582,95.3,11
338,Tanguy Ndombele,fr FRA,MF,Tottenham,25-059,1996,5.4,352,5,46,217,114,13,344,13,24,54.2,13,1,264,1289,794,52,15,7,15,19,313,278,88.8,30
339,Reiss Nelson,eng ENG,FW,Arsenal,22-077,1999,0.2,16,0,0,7,10,2,16,0,0,,0,0,11,44,14,0,0,0,1,0,12,11,91.7,3
340,Pedro Neto,pt POR,FWMF,Wolves,21-353,2000,0.3,14,0,4,6,7,2,14,0,1,0,0,0,12,181,140,1,1,0,0,2,8,7,87.5,0
341,Rúben Neves,pt POR,MF,Wolves,24-349,1997,21,1534,74,403,935,271,7,1484,17,25,68,19,1,1067,4078,1973,76,25,2,12,17,1102,1055,95.7,20
342,Jeremy Ngakia,eng ENG,DF,Watford,21-171,2000,6.3,351,26,148,135,89,2,285,9,14,64.3,10,2,172,802,464,17,10,0,0,4,167,149,89.2,5
343,Saúl Ñíguez,es ESP,MFFW,Chelsea,27-096,1994,1.8,155,3,35,92,30,3,147,1,4,25,1,0,81,303,79,3,0,0,6,7,116,105,90.5,7
344,Eddie Nketiah,eng ENG,FWMF,Arsenal,22-271,1999,1,66,0,11,30,31,9,66,3,6,50,4,0,52,305,196,11,5,2,13,2,70,46,65.7,10
345,Nicolas Nkoulou,cm CMR,DF,Watford,31-335,1990,1.9,72,11,38,34,2,0,71,1,1,100,1,0,42,126,47,0,0,0,0,1,41,40,97.6,0
346,Mark Noble,eng ENG,MF,West Ham,34-293,1987,1.1,71,0,14,53,7,2,66,1,1,100,1,0,43,161,56,2,1,0,2,0,54,52,96.3,0
347,Mathias Normann,no NOR,MF,Norwich City,25-273,1996,9.2,499,40,175,259,89,1,466,15,19,78.9,15,0,272,1313,644,26,6,0,9,9,291,270,92.8,0
348,Christian Nørgaard,dk DEN,MF,Brentford,27-352,1994,24.6,1498,75,399,915,244,46,1424,11,21,52.4,12,0,763,2997,1519,59,16,4,13,19,898,805,89.6,25
349,Angelo Ogbonna,it ITA,DF,West Ham,33-278,1988,10.2,528,69,293,251,14,8,523,0,0,,0,0,353,1947,714,6,1,0,0,1,375,363,96.8,1
350,Michael Olise,fr FRA,FWMF,Crystal Palace,20-075,2001,8.2,573,9,57,279,288,27,534,15,34,44.1,15,0,415,2554,1595,90,28,6,17,23,498,416,83.5,32
351,Andrew Omobamidele,ie IRL,DF,Norwich City,19-247,2002,4.2,276,30,139,144,17,2,263,0,0,,0,0,162,931,539,16,5,0,2,1,164,161,98.2,1
352,Tyler Onyango,eng ENG,MFFW,Everton,18-358,2003,0.3,5,0,1,3,1,1,5,1,2,50,1,1,2,0,0,0,0,0,0,0,5,2,40,0
353,Frank Onyeka,ng NGA,MF,Brentford,24-055,1998,11.2,461,24,127,235,129,18,453,10,15,66.7,11,0,279,1668,892,35,9,3,10,18,351,269,76.6,30
354,Divock Origi,be BEL,FW,Liverpool,26-313,1995,0.8,40,1,2,9,29,13,40,1,2,50,2,0,28,97,36,3,0,1,6,2,40,32,80,12
355,Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,28-194,1993,8.7,502,6,50,258,244,32,492,10,15,66.7,13,0,367,2092,1234,65,33,5,10,18,463,370,79.9,54
356,Cole Palmer,eng ENG,FWMF,Manchester City,19-295,2002,1.4,76,0,5,30,46,15,76,1,3,33.3,1,1,57,265,139,7,2,3,6,4,73,62,84.9,21
357,Emerson Palmieri,it ITA,DF,Chelsea,27-206,1994,0.1,2,0,0,1,1,1,2,0,0,,0,0,2,10,2,0,0,0,0,0,2,2,100,1
358,Thomas Partey,gh GHA,MF,Arsenal,28-257,1993,17.7,1091,59,306,644,220,18,1073,22,30,73.3,22,4,736,3879,2055,75,24,2,11,13,788,753,95.6,6
359,João Pedro,br BRA,MFFW,Watford,20-152,2001,9.3,440,6,46,214,222,46,431,27,45,60,27,3,302,1723,1049,47,21,8,21,37,444,315,70.9,51
360,Nicolas Pépé,ci CIV,FWMF,Arsenal,26-272,1995,6,392,10,54,123,235,51,353,14,30,46.7,15,1,275,1210,575,37,9,7,25,15,327,260,79.5,42
361,Ricardo Pereira,pt POR,DF,Leicester City,28-142,1993,8.6,628,34,187,315,162,17,547,8,14,57.1,8,2,375,1486,962,45,12,4,6,6,411,365,88.8,10
362,Ayoze Pérez,es ESP,FWMF,Leicester City,28-217,1993,2.4,108,2,14,62,39,14,107,1,6,16.7,1,1,68,278,173,12,6,2,6,3,107,81,75.7,20
363,Sonny Perkins,eng ENG,MF,West Ham,18-015,2004,0,1,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,3,1,33.3,0
364,Romain Perraud,fr FRA,DF,Southampton,24-156,1997,11.8,593,34,152,242,224,20,492,4,13,30.8,6,0,325,1638,848,37,12,4,13,7,351,303,86.3,21
365,Kalvin Phillips,eng ENG,MF,Leeds United,26-085,1995,11.1,768,50,257,430,130,7,744,4,8,50,6,0,483,2285,918,18,6,2,6,15,496,480,96.8,15
366,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19-283,2002,0.1,3,0,1,0,2,0,3,0,0,,0,0,1,0,0,0,0,0,0,1,4,2,50,1
367,Jordan Pickford,eng ENG,GK,Everton,27-355,1994,22,765,659,753,13,0,0,530,1,1,100,1,0,342,2314,1252,0,0,0,0,0,304,304,100,0
368,Erik Pieters,nl NED,DF,Burnley,33-202,1988,7.2,409,54,156,182,92,3,337,2,4,50,2,0,170,799,489,15,9,0,6,2,171,159,93,4
369,Ethan Pinnock,jm JAM,DF,Brentford,28-272,1993,23.7,1566,229,817,618,191,50,1361,3,6,50,4,0,661,3380,1805,36,8,0,10,6,808,773,95.7,10
370,Daniel Podence,pt POR,FWMF,Wolves,26-127,1995,11.5,539,1,71,246,276,35,519,24,47,51.1,25,2,435,2494,1587,79,35,16,18,20,603,420,69.7,62
371,Paul Pogba,fr FRA,MFFW,Manchester Utd,28-347,1993,9.9,753,20,120,446,232,37,745,30,38,78.9,31,1,537,2351,1386,68,14,7,17,20,654,578,88.4,39
372,Nick Pope,eng ENG,GK,Burnley,29-312,1992,21,683,573,672,14,0,0,434,1,1,100,1,0,265,1899,1155,0,0,0,0,0,183,183,100,0
373,Teemu Pukki,fi FIN,FW,Norwich City,31-333,1990,23.2,544,5,39,257,277,105,487,14,39,35.9,16,3,327,1535,846,41,16,14,35,31,826,342,41.4,136
374,Christian Pulisic,us USA,FWMF,Chelsea,23-160,1998,9.4,434,7,59,178,229,52,418,12,29,41.4,16,1,316,1717,893,58,11,10,29,14,459,325,70.8,88
375,Przemysław Płacheta,pl POL,FWMF,Norwich City,23-339,1998,4.9,200,8,49,72,89,12,183,3,7,42.9,3,0,130,858,478,18,4,5,10,13,184,121,65.8,19
376,Jesuran Rak Sakyi,eng ENG,MF,Crystal Palace,19-143,2002,0.2,13,0,1,8,4,0,11,0,0,,0,0,8,33,4,0,0,0,0,1,11,9,81.8,1
377,Aaron Ramsdale,eng ENG,GK,Arsenal,23-287,1998,21,791,652,788,4,0,0,616,1,1,100,1,0,429,2293,1254,0,0,0,0,0,387,384,99.2,0
378,Jacob Ramsey,eng ENG,MF,Aston Villa,20-273,2001,16.8,845,27,157,472,306,35,836,15,28,53.6,18,2,621,4182,2270,106,40,6,40,28,711,605,85.1,61
379,Marcus Rashford,eng ENG,FWMF,Manchester Utd,24-117,1997,9.2,413,6,42,166,235,56,410,18,43,41.9,21,3,287,1428,904,48,13,12,26,14,503,343,68.2,91
380,Milot Rashica,xk KVX,FWMF,Norwich City,25-242,1996,14.7,573,23,120,237,275,37,513,14,47,29.8,17,3,375,2949,1986,71,30,14,29,30,515,336,65.2,58
381,David Raya,es ESP,GK,Brentford,26-163,1995,12,569,455,561,10,0,0,429,0,0,,0,0,282,1436,777,0,0,0,1,0,279,278,99.6,0
382,Nathan Redmond,eng ENG,MFFW,Southampton,27-356,1994,14.9,667,20,88,300,334,37,638,16,30,53.3,19,3,451,2978,1680,90,37,11,19,16,613,461,75.2,74
383,Sergio Reguilón,es ESP,DF,Tottenham,25-071,1996,16,964,59,254,405,357,41,835,15,40,37.5,15,4,578,2639,1442,72,28,6,19,17,640,556,86.9,57
384,Declan Rice,eng ENG,MF,West Ham,23-042,1999,25,1672,99,477,1067,320,38,1652,27,45,60,30,2,1189,9047,4719,190,71,12,14,22,1201,1148,95.6,24
385,Taylor Richards,eng ENG,MFFW,Brighton,21-083,2000,0.3,32,0,3,15,16,0,32,0,1,0,1,0,26,123,59,3,2,0,0,1,29,26,89.7,4
386,Richarlison,br BRA,FWMF,Everton,24-291,1997,14.2,503,14,57,199,270,66,492,16,37,43.2,18,1,332,1488,780,41,10,7,40,35,620,320,51.6,69
387,Jaïro Riedewald,nl NED,MF,Crystal Palace,25-169,1996,1.3,66,2,19,39,15,1,61,0,2,0,0,0,43,187,73,4,2,0,1,1,46,41,89.1,3
388,Matt Ritchie,sct SCO,DF,Newcastle Utd,32-168,1989,14.6,800,45,254,328,250,9,621,3,5,60,3,1,387,1500,699,29,9,0,7,4,417,383,91.8,10
389,Connor Roberts,wls WAL,DF,Burnley,26-155,1995,6.2,298,31,95,136,77,3,232,5,5,100,5,0,132,687,394,22,6,0,1,0,142,127,89.4,4
390,Tyler Roberts,wls WAL,MFFW,Leeds United,23-044,1999,10.8,432,12,70,212,190,50,417,9,22,40.9,9,0,308,1783,828,44,18,9,21,13,438,299,68.3,79
391,Andrew Robertson,sct SCO,DF,Liverpool,27-351,1994,18.5,1654,53,335,797,621,70,1420,12,21,57.1,13,1,1039,4724,2906,134,46,7,12,11,1209,1108,91.6,93
392,Joe Rodon,wls WAL,DF,Tottenham,24-126,1997,0.9,31,10,18,14,1,0,31,0,0,,0,0,16,49,5,0,0,0,0,0,17,15,88.2,0
393,Rodri,es ESP,MF,Manchester City,25-248,1996,20.4,1907,59,359,1211,451,35,1884,7,15,46.7,8,1,1344,5491,2750,125,26,4,8,20,1527,1476,96.7,42
394,Rodrigo,es ESP,MFFW,Leeds United,30-356,1991,14.8,666,19,96,348,276,46,630,13,28,46.4,13,0,464,2315,1045,59,24,7,38,22,661,486,73.5,115
395,Jay Rodriguez,eng ENG,FW,Burnley,32-211,1989,8.4,262,9,44,120,113,29,261,7,10,70,7,2,113,754,357,20,7,2,11,8,378,175,46.3,42
396,Mads Roerslev,dk DEN,DF,Brentford,22-246,1999,10.1,357,33,139,131,99,8,346,2,15,13.3,5,0,184,645,272,14,3,1,8,10,240,182,75.8,16
397,Cristian Romero,ar ARG,DF,Tottenham,23-304,1998,9.9,690,111,388,312,34,7,671,1,3,33.3,2,0,439,2324,1199,22,6,0,5,2,457,441,96.5,5
398,Oriol Romeu,es ESP,MF,Southampton,30-154,1991,22.2,1398,68,343,851,289,31,1375,18,26,69.2,18,0,881,4143,2223,105,28,4,21,11,923,875,94.8,28
399,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37-020,1985,19.4,789,25,63,358,404,127,762,13,27,48.1,15,0,473,2297,1309,94,20,26,28,23,1032,631,61.1,154
400,Salomón Rondón,ve VEN,FW,Everton,32-162,1989,7.9,255,13,25,113,121,43,249,2,6,33.3,2,0,117,440,166,8,1,1,18,8,366,177,48.4,42
401,Danny Rose,eng ENG,DF,Watford,31-238,1990,7.7,409,34,138,180,112,4,305,9,15,60,9,2,175,833,508,25,8,0,4,6,192,173,90.1,6
402,Jon Rowe,eng ENG,FWMF,Norwich City,18-301,2003,0.6,22,1,5,6,13,1,22,1,2,50,2,0,14,64,48,4,1,1,1,0,21,11,52.4,2
403,Antonio Rüdiger,de GER,DF,Chelsea,28-359,1993,24,1852,163,765,1017,212,33,1809,4,6,66.7,4,0,1311,6233,3715,119,43,2,5,12,1461,1423,97.4,11
404,Lukas Rupp,de GER,MF,Norwich City,31-048,1991,5.3,336,20,89,174,99,12,333,6,7,85.7,6,0,239,1111,519,28,10,0,9,12,247,226,91.5,16
405,José Sá,pt POR,GK,Wolves,29-039,1993,25,784,728,778,6,0,0,557,1,1,100,1,0,345,2175,1246,0,0,0,0,0,228,228,100,0
406,Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,24-350,1997,21.9,858,6,81,434,486,102,836,100,163,61.3,108,2,819,5553,3575,171,65,41,59,86,909,649,71.4,88
407,Romain Saïss,ma MAR,DF,Wolves,31-336,1990,22.4,1508,237,867,614,82,26,1473,3,4,75,3,0,843,3578,1788,47,11,1,2,6,972,951,97.8,3
408,Bukayo Saka,eng ENG,FWMF,Arsenal,20-173,2001,20.2,1020,14,112,391,594,140,975,38,70,54.3,39,5,778,4538,3030,166,38,36,49,38,1054,764,72.5,161
409,Mohamed Salah,eg EGY,FW,Liverpool,29-255,1992,23.1,1154,5,52,373,800,243,1142,44,97,45.4,51,1,880,4068,2537,162,30,59,55,56,1464,952,65,272
410,Mohammed Salisu,gh GHA,DF,Southampton,22-314,1999,23,1557,206,751,778,122,22,1478,7,11,63.6,7,0,855,5420,2603,85,11,0,5,13,861,841,97.7,3
411,Albert Sambi Lokonga,be BEL,MF,Arsenal,22-126,1999,10.1,701,28,192,403,147,2,684,3,4,75,3,0,475,2884,1603,66,12,0,9,5,525,507,96.6,9
412,Davinson Sánchez,co COL,DF,Tottenham,25-258,1996,14.4,970,114,462,488,88,18,950,2,4,50,3,0,607,3277,1757,71,13,0,3,7,674,655,97.2,4
413,Robert Sánchez,es ESP,GK,Brighton,24-099,1997,24,1095,843,1086,11,0,0,907,0,0,,0,0,631,2826,1621,0,0,0,0,0,656,656,100,0
414,Jadon Sancho,eng ENG,FWMF,Manchester Utd,21-337,2000,14.3,830,16,118,358,444,74,809,33,60,55,35,13,642,4062,2783,140,51,36,28,30,786,638,81.2,89
415,Morgan Sanson,fr FRA,MF,Aston Villa,27-191,1994,2.5,156,4,35,97,38,1,156,3,3,100,3,0,120,764,396,19,5,0,3,6,116,100,86.2,3
416,Samir Santos,br BRA,DF,Watford,27-082,1994,7,389,45,260,146,10,5,381,0,1,0,0,1,214,1008,490,9,2,1,0,3,222,217,97.7,1
417,Josh Sargent,us USA,FWMF,Norwich City,22-005,2000,13.7,508,28,96,213,226,56,500,13,22,59.1,13,0,292,1603,738,29,13,4,32,29,534,312,58.4,70
418,Jeremy Sarmiento,ec ECU,FW,Brighton,19-254,2002,0.2,16,2,6,7,4,0,16,1,1,100,1,0,11,103,65,1,0,0,1,1,9,8,88.9,1
419,Ismaila Sarr,sn SEN,MFFW,Watford,24-000,1998,13.9,541,5,71,220,305,63,535,27,49,55.1,29,5,423,2735,1819,91,31,21,47,39,609,408,67,94
420,Malang Sarr,fr FRA,DF,Chelsea,23-033,1999,3.8,315,29,127,179,29,0,298,0,1,0,0,0,203,854,430,15,6,0,0,0,220,215,97.7,2
421,Fabian Schär,ch SUI,DF,Newcastle Utd,30-067,1991,13.8,673,119,413,279,41,11,631,4,6,66.7,4,0,368,2434,1503,29,8,0,2,3,376,362,96.3,2
422,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,29-064,1992,11.4,539,22,105,295,167,41,534,17,32,53.1,18,3,326,1599,816,38,6,5,21,21,415,338,81.4,34
423,Kasper Schmeichel,dk DEN,GK,Leicester City,35-112,1986,23,895,800,885,11,0,0,607,0,0,,0,0,378,1610,765,1,0,0,0,0,382,378,99,0
424,Ken Sema,se SWE,MFFW,Watford,28-148,1993,5.8,201,15,60,91,63,9,195,6,13,46.2,7,2,125,655,382,18,2,3,11,14,178,111,62.4,21
425,Nélson Semedo,pt POR,DF,Wolves,28-101,1993,22.1,1362,92,401,580,486,52,1165,30,60,50,36,3,872,4465,2837,139,48,16,33,26,906,786,86.8,76
426,Ryan Sessegnon,eng ENG,DFMF,Tottenham,21-283,2000,4.6,222,16,68,83,81,12,197,4,10,40,4,0,141,719,412,20,2,3,8,9,148,125,84.5,13
427,Jamie Shackleton,eng ENG,DF,Leeds United,22-140,1999,7.5,472,25,186,226,93,12,412,8,15,53.3,8,1,305,1478,774,27,7,2,4,6,304,273,89.8,12
428,Luke Shaw,eng ENG,DF,Manchester Utd,26-228,1995,17.1,1261,61,307,606,449,16,1053,9,23,39.1,11,1,772,4212,2445,91,49,1,9,10,873,794,91,31
429,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,29-363,1992,14,721,31,224,396,137,1,658,6,8,75,8,0,415,1899,805,23,6,0,9,6,434,409,94.2,4
430,Francisco Sierralta,cl CHI,DF,Watford,24-295,1997,4.7,246,68,193,62,2,2,241,1,1,100,1,0,122,524,250,1,0,0,2,1,136,133,97.8,0
431,Bernardo Silva,pt POR,MFFW,Manchester City,27-199,1994,23.7,1649,36,210,790,779,157,1593,43,68,63.2,48,2,1268,7533,4309,249,76,29,29,26,1478,1288,87.1,167
432,Fábio Silva,pt POR,FWMF,Wolves,19-221,2002,1.7,67,1,5,27,40,12,64,1,5,20,1,1,39,245,134,7,2,1,6,2,105,49,46.7,13
433,Thiago Silva,br BRA,DF,Chelsea,37-156,1984,19.3,1724,260,848,945,57,19,1690,4,5,80,4,1,1148,6473,4000,122,19,1,5,2,1273,1255,98.6,3
434,Ellis Simms,eng ENG,FW,Everton,21-051,2001,0.7,19,2,4,12,3,1,19,0,0,,0,0,8,6,1,1,0,1,0,1,32,13,40.6,0
435,Moussa Sissoko,fr FRA,MF,Watford,32-193,1989,22.8,977,89,285,553,210,22,959,27,41,65.9,29,2,547,3164,1666,55,20,3,20,24,596,515,86.4,40
436,Oliver Skipp,eng ENG,MF,Tottenham,21-162,2000,15,953,30,192,655,156,10,937,2,3,66.7,2,0,646,3134,1730,88,27,5,9,12,731,692,94.7,13
437,William Smallbone,ie IRL,MF,Southampton,22-004,2000,0.8,28,2,6,10,12,4,27,0,1,0,0,0,14,67,38,2,0,1,2,0,19,13,68.4,4
438,Emile Smith Rowe,eng ENG,MFFW,Arsenal,21-212,2000,15.3,748,14,110,353,359,48,717,27,42,64.3,28,0,544,3179,2088,105,44,15,27,26,662,549,82.9,62
439,Cédric Soares,pt POR,DF,Arsenal,30-178,1991,5.2,313,20,78,143,100,3,261,1,3,33.3,1,0,178,767,365,16,4,0,1,2,203,179,88.2,4
440,Tomáš Souček,cz CZE,MF,West Ham,26-363,1995,23.9,1278,107,346,695,304,72,1267,7,16,43.8,8,1,640,2955,1385,62,24,2,25,13,933,768,82.3,44
441,Boubakary Soumaré,fr FRA,MF,Leicester City,22-363,1999,11.4,626,29,169,373,115,6,624,8,16,50,9,1,408,1800,748,34,5,1,15,16,495,444,89.7,20
442,Çağlar Söyüncü,tr TUR,DF,Leicester City,25-278,1996,19.7,1459,209,847,670,38,8,1427,5,6,83.3,5,0,923,4828,2246,38,11,0,5,3,992,976,98.4,1
443,Jason Steele,eng ENG,GK,Brighton,31-191,1990,1,42,37,42,0,0,0,36,0,0,,0,0,28,90,36,0,0,0,0,0,28,28,100,0
444,Jed Steer,eng ENG,GK,Aston Villa,29-155,1992,1,37,33,36,1,0,0,28,0,0,,0,0,19,77,52,0,0,0,0,0,20,19,95,0
445,Zack Steffen,us USA,GK,Manchester City,26-329,1995,1,41,37,41,0,0,0,32,0,0,,0,0,18,58,23,0,0,0,0,0,20,20,100,0
446,Dale Stephens,eng ENG,MF,Burnley,32-258,1989,1.4,75,4,14,56,10,0,75,0,0,,0,0,34,120,35,0,2,0,2,1,43,37,86,1
447,Jack Stephens,eng ENG,DF,Southampton,28-029,1994,5.9,358,52,190,183,16,2,343,0,1,0,0,0,187,1271,788,22,7,0,1,0,205,198,96.6,1
448,Raheem Sterling,eng ENG,FW,Manchester City,27-079,1994,16.6,916,4,44,287,649,167,909,31,77,40.3,34,2,792,3799,2255,145,21,40,30,52,973,764,78.5,162
449,Finley Stevens,wls WAL,DF,Brentford,18-321,2003,0.2,10,0,2,5,3,1,10,0,0,,0,0,4,22,0,0,0,0,0,0,6,5,83.3,1
450,John Stones,eng ENG,DF,Manchester City,27-273,1994,6.6,533,46,162,373,45,5,513,2,3,66.7,2,0,380,2606,1569,71,15,0,2,0,426,416,97.7,2
451,Pascal Struijk,nl NED,DFMF,Leeds United,22-198,1999,15.3,1040,133,588,437,74,7,1006,4,5,80,4,0,604,3227,1763,26,3,0,4,10,660,636,96.4,8
452,Crysencio Summerville,nl NED,MFFW,Leeds United,20-118,2001,1.4,85,2,16,26,47,7,84,3,6,50,3,0,70,341,148,11,0,1,2,5,73,57,78.1,12
453,Jakob Sørensen,dk DEN,DFMF,Norwich City,23-359,1998,4.1,223,31,112,103,18,7,215,2,2,100,2,1,121,611,349,9,1,0,2,2,135,123,91.1,3
454,Japhet Tanganga,eng ENG,DF,Tottenham,22-331,1999,8.2,501,46,180,242,115,11,447,3,6,50,3,0,283,1401,954,35,15,3,4,9,327,310,94.8,12
455,Matt Targett,eng ENG,DF,Newcastle Utd,26-160,1995,2,140,8,37,64,40,4,109,1,3,33.3,1,0,60,187,85,5,0,0,1,0,62,57,91.9,2
