Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
398,Raphinha,br BRA,FWMF,Leeds United,24,1996,35,34,2915,32.4,11,3,7,4,4,7,0,0.34,0.09,0.43,0.22,0.31,11.3,8.2,6.8,15.0,0.35,0.21,0.56,0.25,0.46,Matches,3423f250
399,Marcus Rashford,eng ENG,FWMF,Manchester Utd,23,1997,25,13,1235,13.7,4,2,4,0,0,2,0,0.29,0.15,0.44,0.29,0.44,2.4,2.4,2.0,4.4,0.18,0.14,0.32,0.18,0.32,Matches,a1d5bd30
400,Milot Rashica,xk KVX,FWMF,Norwich City,25,1996,31,25,2229,24.8,1,2,1,0,0,0,0,0.04,0.08,0.12,0.04,0.12,2.6,2.6,2.6,5.2,0.10,0.11,0.21,0.10,0.21,Matches,6c6a3300
401,David Raya,es ESP,GK,Brentford,25,1995,24,24,2160,24.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,98ea5115
402,Nathan Redmond,eng ENG,MFFW,Southampton,27,1994,27,20,1833,20.4,1,5,1,0,0,0,0,0.05,0.25,0.29,0.05,0.29,1.9,1.9,4.3,6.3,0.09,0.21,0.31,0.09,0.31,Matches,ab651565
403,Sergio Reguilón,es ESP,DF,Tottenham,24,1996,25,22,1916,21.3,2,3,2,0,0,4,0,0.09,0.14,0.23,0.09,0.23,3.0,3.0,4.0,7.0,0.14,0.19,0.33,0.14,0.33,Matches,3353737a
404,Declan Rice,eng ENG,MF,West Ham,22,1999,36,35,3179,35.3,1,4,1,0,0,8,0,0.03,0.11,0.14,0.03,0.14,1.1,1.1,2.0,3.1,0.03,0.06,0.09,0.03,0.09,Matches,1c7012b8
405,Taylor Richards,eng ENG,MFFW,Brighton,20,2000,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.14,0.00,0.14,0.14,0.14,Matches,e0243d23
406,Richarlison,br BRA,FWMF,Everton,24,1997,30,28,2523,28.0,10,5,7,3,3,9,0,0.36,0.18,0.54,0.25,0.43,10.2,7.9,2.4,10.3,0.36,0.09,0.45,0.28,0.37,Matches,fa031b34
407,Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,3,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches,7a1f2c08
408,Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,18,14,1337,14.9,0,2,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,0.4,0.4,1.6,2.1,0.03,0.11,0.14,0.03,0.14,Matches,71ef519e
409,Connor Roberts,wls WAL,DF,Burnley,25,1995,21,19,1692,18.8,1,1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,0.2,0.2,1.1,1.3,0.01,0.06,0.07,0.01,0.07,Matches,24fae784
410,Tyler Roberts,wls WAL,MFFW,Leeds United,22,1999,23,7,987,11.0,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,2.4,2.4,1.3,3.7,0.22,0.11,0.34,0.22,0.34,Matches,6c17e046
411,Andrew Robertson,sct SCO,DF,Liverpool,27,1994,29,29,2537,28.2,3,10,3,0,0,5,1,0.11,0.35,0.46,0.11,0.46,1.9,1.9,5.2,7.1,0.07,0.19,0.25,0.07,0.25,Matches,2e4f5f03
412,Joe Rodon,wls WAL,DF,Tottenham,23,1997,3,0,89,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8d62d31a
